event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,2121,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.26.input_layernorm,input_layernorm,model.layers.26.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002169""]","[""t00002170""]"
2,2122,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.26.input_layernorm,input_layernorm,model.layers.26.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002170""]","[""t00002171""]"
3,2123,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.26.input_layernorm,input_layernorm,model.layers.26.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002171""]","[""t00002172""]"
4,2124,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.26.input_layernorm,input_layernorm,model.layers.26.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002172""]","[""t00002173""]"
5,2125,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.26.input_layernorm,input_layernorm,model.layers.26.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002173""]","[""t00002174""]"
6,2126,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.26.input_layernorm,input_layernorm,model.layers.26.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002170"",""t00002174""]","[""t00002175""]"
7,2127,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.26.input_layernorm,input_layernorm,model.layers.26.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002175""]","[""t00002176""]"
8,2128,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.26.input_layernorm,input_layernorm,model.layers.26.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002177"",""t00002176""]","[""t00002178""]"
9,2129,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.26.self_attn.q_proj,self_attn.q_proj,model.layers.26.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00002178"",""t00002179""]","[""t00002180""]"
10,2130,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.26.self_attn.k_proj,self_attn.k_proj,model.layers.26.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00002178"",""t00002181""]","[""t00002182""]"
11,2131,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.26.self_attn.v_proj,self_attn.v_proj,model.layers.26.self_attn.v_proj,True,True,"[""qkv_projection""]","[""t00002178"",""t00002183""]","[""t00002184""]"
12,2132,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,"[""qkv_projection""]","[""t00002180""]","[""t00002185""]"
13,2133,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002185""]","[""t00002186""]"
14,2134,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,"[""qkv_projection""]","[""t00002182""]","[""t00002187""]"
15,2135,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002187""]","[""t00002188""]"
16,2136,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,"[""qkv_projection""]","[""t00002184""]","[""t00002189""]"
17,2137,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002189""]","[""t00002190""]"
18,2138,select.int,"aten::select.int(Tensor(a) self, int dim, SymInt index) -> Tensor(a)",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,[],"[""t00001475""]","[""t00002191""]"
19,2139,select.int,"aten::select.int(Tensor(a) self, int dim, SymInt index) -> Tensor(a)",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,[],"[""t00002191""]","[""t00002192""]"
20,2140,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.26.self_attn,self_attn,model.layers.26.self_attn,True,True,"[""rope""]","[""t00002192""]","[""t00002193""]"
