tensor_id,producer_event_op_index,producer_op_name,consumer_event_op_index,consumer_op_name
t00001454,1,to.dtype,2,pow.Tensor_Scalar
t00001455,2,pow.Tensor_Scalar,3,mean.dim
t00001456,3,mean.dim,4,add.Tensor
t00001457,4,add.Tensor,5,rsqrt.default
t00001454,1,to.dtype,6,mul.Tensor
t00001458,5,rsqrt.default,6,mul.Tensor
t00001459,6,mul.Tensor,7,to.dtype
t00001460,7,to.dtype,8,mul.Tensor
t00001462,8,mul.Tensor,9,linear.default
t00001462,8,mul.Tensor,10,linear.default
t00001462,8,mul.Tensor,11,linear.default
t00001464,9,linear.default,12,view.default
t00001469,12,view.default,13,transpose.int
t00001466,10,linear.default,14,view.default
t00001471,14,view.default,15,transpose.int
t00001468,11,linear.default,16,view.default
t00001473,16,view.default,17,transpose.int
t00001476,18,select.int,19,select.int
t00001477,19,select.int,20,add.Tensor
t00001478,20,add.Tensor,21,gt.Scalar
t00001479,21,gt.Scalar,22,is_nonzero.default
t00001478,20,add.Tensor,23,item.default
t00001481,24,slice.Tensor,25,to.dtype
t00001478,20,add.Tensor,26,item.default
t00001483,27,slice.Tensor,28,to.dtype
t00001481,25,to.dtype,29,index.Tensor
t00001484,29,index.Tensor,30,unsqueeze.default
t00001483,28,to.dtype,31,index.Tensor
t00001486,31,index.Tensor,32,unsqueeze.default
t00001470,13,transpose.int,33,mul.Tensor
t00001485,30,unsqueeze.default,33,mul.Tensor
t00001470,13,transpose.int,34,slice.Tensor
t00001470,13,transpose.int,35,slice.Tensor
t00001490,35,slice.Tensor,36,neg.default
t00001491,36,neg.default,37,cat.default
t00001489,34,slice.Tensor,37,cat.default
t00001492,37,cat.default,38,mul.Tensor
t00001487,32,unsqueeze.default,38,mul.Tensor
t00001488,33,mul.Tensor,39,add.Tensor
t00001493,38,mul.Tensor,39,add.Tensor
t00001472,15,transpose.int,40,mul.Tensor
t00001485,30,unsqueeze.default,40,mul.Tensor
t00001472,15,transpose.int,41,slice.Tensor
t00001472,15,transpose.int,42,slice.Tensor
t00001497,42,slice.Tensor,43,neg.default
t00001498,43,neg.default,44,cat.default
t00001496,41,slice.Tensor,44,cat.default
t00001499,44,cat.default,45,mul.Tensor
t00001487,32,unsqueeze.default,45,mul.Tensor
t00001495,40,mul.Tensor,46,add.Tensor
t00001500,45,mul.Tensor,46,add.Tensor
t00001501,46,add.Tensor,47,transpose.int
t00001494,39,add.Tensor,48,matmul.default
t00001502,47,transpose.int,48,matmul.default
t00001503,48,matmul.default,49,div.Tensor
t00001504,49,div.Tensor,50,add.Tensor
t00001506,50,add.Tensor,51,softmax.int
t00001507,51,softmax.int,52,to.dtype
t00001508,52,to.dtype,53,dropout.default
t00001508,53,dropout.default,54,matmul.default
t00001474,17,transpose.int,54,matmul.default
t00001509,54,matmul.default,55,transpose.int
t00001510,55,transpose.int,56,contiguous.default
t00001511,56,contiguous.default,57,reshape.default
t00001513,58,gt.Scalar,59,is_nonzero.default
t00001514,60,select.int,61,select.int
t00001515,61,select.int,62,add.Tensor
t00001516,62,add.Tensor,64,sub.Tensor
t00001517,63,mul.Tensor,64,sub.Tensor
t00001518,64,sub.Tensor,65,add.Tensor
t00001519,65,add.Tensor,66,eq.Scalar
t00001520,66,eq.Scalar,67,is_nonzero.default
t00001512,57,reshape.default,68,select.int
t00001508,53,dropout.default,69,select.int
t00001522,69,select.int,70,unsqueeze.default
t00001523,70,unsqueeze.default,71,mul.Tensor
t00001474,17,transpose.int,71,mul.Tensor
t00001524,71,mul.Tensor,72,permute.default
t00001525,72,permute.default,73,contiguous.default
t00001526,73,contiguous.default,74,view.default
t00001527,74,view.default,76,index.Tensor
t00001528,75,arange.start,76,index.Tensor
t00001521,68,select.int,77,unsqueeze.default
t00001530,77,unsqueeze.default,78,sub.Tensor
t00001529,76,index.Tensor,78,sub.Tensor
t00001521,68,select.int,79,unsqueeze.default
t00001531,78,sub.Tensor,80,cosine_similarity.default
t00001532,79,unsqueeze.default,80,cosine_similarity.default
t00001533,80,cosine_similarity.default,81,squeeze.dim
t00001534,81,squeeze.dim,82,lt.Scalar
t00001535,82,lt.Scalar,83,any.default
t00001536,83,any.default,84,item.default
t00001512,57,reshape.default,85,linear.default
t00001538,85,linear.default,86,add.Tensor
t00001539,86,add.Tensor,87,to.dtype
t00001540,87,to.dtype,88,pow.Tensor_Scalar
t00001541,88,pow.Tensor_Scalar,89,mean.dim
t00001542,89,mean.dim,90,add.Tensor
t00001543,90,add.Tensor,91,rsqrt.default
t00001540,87,to.dtype,92,mul.Tensor
t00001544,91,rsqrt.default,92,mul.Tensor
t00001545,92,mul.Tensor,93,to.dtype
t00001546,93,to.dtype,94,mul.Tensor
t00001548,94,mul.Tensor,95,linear.default
t00001550,95,linear.default,96,silu.default
t00001548,94,mul.Tensor,97,linear.default
t00001551,96,silu.default,98,mul.Tensor
t00001553,97,linear.default,98,mul.Tensor
t00001554,98,mul.Tensor,99,linear.default
t00001539,86,add.Tensor,100,add.Tensor
t00001556,99,linear.default,100,add.Tensor
