event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,929,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.14.input_layernorm,input_layernorm,model.layers.14.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000950""]","[""t00000951""]"
2,930,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.14.input_layernorm,input_layernorm,model.layers.14.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000951""]","[""t00000952""]"
3,931,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.14.input_layernorm,input_layernorm,model.layers.14.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000952""]","[""t00000953""]"
4,932,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.14.input_layernorm,input_layernorm,model.layers.14.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000953""]","[""t00000954""]"
5,933,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.14.input_layernorm,input_layernorm,model.layers.14.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000954""]","[""t00000955""]"
6,934,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.14.input_layernorm,input_layernorm,model.layers.14.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000951"",""t00000955""]","[""t00000956""]"
7,935,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.14.input_layernorm,input_layernorm,model.layers.14.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000956""]","[""t00000957""]"
8,936,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.14.input_layernorm,input_layernorm,model.layers.14.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000958"",""t00000957""]","[""t00000959""]"
9,937,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.14.self_attn.q_proj,self_attn.q_proj,model.layers.14.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00000959"",""t00000960""]","[""t00000961""]"
10,938,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.14.self_attn.k_proj,self_attn.k_proj,model.layers.14.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00000959"",""t00000962""]","[""t00000963""]"
