event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,2480,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002534""]","[""t00002535""]"
2,2481,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002535""]","[""t00002536""]"
3,2482,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002536""]","[""t00002537""]"
4,2483,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002537""]","[""t00002538""]"
5,2484,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002538""]","[""t00002539""]"
6,2485,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002535"",""t00002539""]","[""t00002540""]"
7,2486,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002540""]","[""t00002541""]"
8,2487,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001461"",""t00002541""]","[""t00002542""]"
9,2488,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.19.self_attn.q_proj,self_attn.q_proj,model.layers.19.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00002542"",""t00001463""]","[""t00002543""]"
10,2489,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.19.self_attn.k_proj,self_attn.k_proj,model.layers.19.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00002542"",""t00001465""]","[""t00002544""]"
