batch_size,flops,formula,forward_id,kv_len,layer_idx,op_name,phase,q_len,source
1,1210056704,2*N*D*D,,577,10,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,10,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,10,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,11,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,11,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,11,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,11,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,11,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,11,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,12,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,12,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,12,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,12,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,12,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,12,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,13,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,13,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,13,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,13,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,13,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,13,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,14,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,14,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,14,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,14,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,14,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,14,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,15,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,15,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,15,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,15,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,15,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,15,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,16,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,16,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,16,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,16,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,16,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,16,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,17,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,17,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,17,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,17,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,17,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,17,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,18,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,18,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,18,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,18,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,18,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,18,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,19,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,19,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,19,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,19,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,19,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,19,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,20,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,20,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,20,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,20,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,20,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,20,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,21,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,21,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,21,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,21,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,21,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,21,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,22,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,22,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,22,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,22,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,22,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,22,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,23,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,23,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,23,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,23,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,23,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,23,clip_mlp_fc2,vision,577,formula
1,24159191040,2*VIS_TOKENS*MM_D*D + 2*VIS_TOKENS*D*D,,0,-1,mm_projector_mlp2x_gelu,vision_projector,576,formula
1,20937965568,2*B*Q*D*D,1,624,0,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,0,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,0,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,0,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,0,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,0,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,0,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,0,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,0,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,1,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,1,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,1,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,1,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,1,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,1,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,1,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,1,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,1,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,2,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,2,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,2,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,2,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,2,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,2,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,2,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,2,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,2,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,3,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,3,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,3,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,3,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,3,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,3,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,3,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,3,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,3,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,4,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,4,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,4,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,4,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,4,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,4,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,4,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,4,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,4,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,5,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,5,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,5,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,5,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,5,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,5,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,5,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,5,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,5,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,6,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,6,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,6,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,6,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,6,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,6,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,6,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,6,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,6,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,7,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,7,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,7,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,7,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,7,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,7,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,7,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,7,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,7,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,8,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,8,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,8,v_proj,prefill,624,formula
