event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,2708,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.31.input_layernorm,input_layernorm,model.layers.31.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002746""]","[""t00002747""]"
2,2709,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.31.input_layernorm,input_layernorm,model.layers.31.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002747""]","[""t00002748""]"
3,2710,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.31.input_layernorm,input_layernorm,model.layers.31.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002748""]","[""t00002749""]"
4,2711,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.31.input_layernorm,input_layernorm,model.layers.31.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002749""]","[""t00002750""]"
5,2712,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.31.input_layernorm,input_layernorm,model.layers.31.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002750""]","[""t00002751""]"
6,2713,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.31.input_layernorm,input_layernorm,model.layers.31.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002747"",""t00002751""]","[""t00002752""]"
7,2714,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.31.input_layernorm,input_layernorm,model.layers.31.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002752""]","[""t00002753""]"
8,2715,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.31.input_layernorm,input_layernorm,model.layers.31.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002754"",""t00002753""]","[""t00002755""]"
9,2716,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.31.self_attn.q_proj,self_attn.q_proj,model.layers.31.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00002755"",""t00002756""]","[""t00002757""]"
10,2717,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.31.self_attn.k_proj,self_attn.k_proj,model.layers.31.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00002755"",""t00002758""]","[""t00002759""]"
11,2718,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.31.self_attn.v_proj,self_attn.v_proj,model.layers.31.self_attn.v_proj,True,True,"[""qkv_projection""]","[""t00002755"",""t00002760""]","[""t00002761""]"
12,2719,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""qkv_projection""]","[""t00002757""]","[""t00002762""]"
13,2720,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002762""]","[""t00002763""]"
14,2721,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""qkv_projection""]","[""t00002759""]","[""t00002764""]"
15,2722,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002764""]","[""t00002765""]"
16,2723,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""qkv_projection""]","[""t00002761""]","[""t00002766""]"
17,2724,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002766""]","[""t00002767""]"
18,2725,select.int,"aten::select.int(Tensor(a) self, int dim, SymInt index) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,[],"[""t00002481""]","[""t00002768""]"
19,2726,select.int,"aten::select.int(Tensor(a) self, int dim, SymInt index) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,[],"[""t00002768""]","[""t00002769""]"
20,2727,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002769""]","[""t00002770""]"
21,2728,gt.Scalar,"aten::gt.Scalar(Tensor self, Scalar other) -> Tensor",model.layers.31.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.31.self_attn.rotary_emb,True,True,[],"[""t00002770""]","[""t00002771""]"
22,2729,is_nonzero.default,aten::is_nonzero(Tensor self) -> bool,model.layers.31.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.31.self_attn.rotary_emb,True,True,[],"[""t00002771""]",[]
23,2730,item.default,aten::item(Tensor self) -> Scalar,model.layers.31.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.31.self_attn.rotary_emb,True,True,[],"[""t00002770""]",[]
24,2731,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.31.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.31.self_attn.rotary_emb,True,True,"[""rope""]","[""t00002772""]","[""t00002773""]"
25,2732,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.31.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.31.self_attn.rotary_emb,True,True,[],"[""t00002773""]","[""t00002773""]"
26,2733,item.default,aten::item(Tensor self) -> Scalar,model.layers.31.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.31.self_attn.rotary_emb,True,True,[],"[""t00002770""]",[]
27,2734,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.31.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.31.self_attn.rotary_emb,True,True,"[""rope""]","[""t00002774""]","[""t00002775""]"
28,2735,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.31.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.31.self_attn.rotary_emb,True,True,[],"[""t00002775""]","[""t00002775""]"
29,2736,index.Tensor,"aten::index.Tensor(Tensor self, Tensor?[] indices) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002773"",""t00002481""]","[""t00002776""]"
30,2737,unsqueeze.default,"aten::unsqueeze(Tensor(a) self, int dim) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002776""]","[""t00002777""]"
31,2738,index.Tensor,"aten::index.Tensor(Tensor self, Tensor?[] indices) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002775"",""t00002481""]","[""t00002778""]"
32,2739,unsqueeze.default,"aten::unsqueeze(Tensor(a) self, int dim) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002778""]","[""t00002779""]"
33,2740,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002763"",""t00002777""]","[""t00002780""]"
34,2741,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002763""]","[""t00002781""]"
35,2742,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002763""]","[""t00002782""]"
36,2743,neg.default,aten::neg(Tensor self) -> Tensor,model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002782""]","[""t00002783""]"
37,2744,cat.default,"aten::cat(Tensor[] tensors, int dim=0) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002783"",""t00002781""]","[""t00002784""]"
38,2745,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope""]","[""t00002784"",""t00002779""]","[""t00002785""]"
39,2746,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""rope"",""attention""]","[""t00002780"",""t00002785""]","[""t00002786""]"
40,2747,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,[],"[""t00002765"",""t00002777""]","[""t00002787""]"
41,2748,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,[],"[""t00002765""]","[""t00002788""]"
42,2749,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,[],"[""t00002765""]","[""t00002789""]"
43,2750,neg.default,aten::neg(Tensor self) -> Tensor,model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,[],"[""t00002789""]","[""t00002790""]"
44,2751,cat.default,"aten::cat(Tensor[] tensors, int dim=0) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,[],"[""t00002790"",""t00002788""]","[""t00002791""]"
45,2752,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,[],"[""t00002791"",""t00002779""]","[""t00002792""]"
46,2753,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""attention""]","[""t00002787"",""t00002792""]","[""t00002793""]"
47,2754,cat.default,"aten::cat(Tensor[] tensors, int dim=0) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""kv_cache_concat""]","[""t00002794"",""t00002793""]","[""t00002795""]"
48,2755,cat.default,"aten::cat(Tensor[] tensors, int dim=0) -> Tensor",model.layers.31.self_attn,self_attn,model.layers.31.self_attn,True,True,"[""kv_cache_concat""]","[""t00002796"",""t00002767""]","[""t00002797""]"
