tensor_id,producer_event_op_index,producer_op_name,consumer_event_op_index,consumer_op_name
t00001248,1,to.dtype,2,pow.Tensor_Scalar
t00001249,2,pow.Tensor_Scalar,3,mean.dim
t00001250,3,mean.dim,4,add.Tensor
t00001251,4,add.Tensor,5,rsqrt.default
t00001248,1,to.dtype,6,mul.Tensor
t00001252,5,rsqrt.default,6,mul.Tensor
t00001253,6,mul.Tensor,7,to.dtype
t00001254,7,to.dtype,8,mul.Tensor
t00001256,8,mul.Tensor,9,linear.default
t00001256,8,mul.Tensor,10,linear.default
t00001256,8,mul.Tensor,11,linear.default
t00001258,9,linear.default,12,view.default
t00001263,12,view.default,13,transpose.int
t00001260,10,linear.default,14,view.default
t00001265,14,view.default,15,transpose.int
t00001262,11,linear.default,16,view.default
t00001267,16,view.default,17,transpose.int
t00001269,18,select.int,19,select.int
t00001270,19,select.int,20,add.Tensor
t00001271,20,add.Tensor,21,gt.Scalar
t00001272,21,gt.Scalar,22,is_nonzero.default
t00001271,20,add.Tensor,23,item.default
t00001274,24,slice.Tensor,25,to.dtype
t00001271,20,add.Tensor,26,item.default
t00001276,27,slice.Tensor,28,to.dtype
t00001274,25,to.dtype,29,index.Tensor
t00001277,29,index.Tensor,30,unsqueeze.default
t00001276,28,to.dtype,31,index.Tensor
t00001279,31,index.Tensor,32,unsqueeze.default
t00001264,13,transpose.int,33,mul.Tensor
t00001278,30,unsqueeze.default,33,mul.Tensor
t00001264,13,transpose.int,34,slice.Tensor
t00001264,13,transpose.int,35,slice.Tensor
t00001283,35,slice.Tensor,36,neg.default
t00001284,36,neg.default,37,cat.default
t00001282,34,slice.Tensor,37,cat.default
t00001285,37,cat.default,38,mul.Tensor
t00001280,32,unsqueeze.default,38,mul.Tensor
t00001281,33,mul.Tensor,39,add.Tensor
t00001286,38,mul.Tensor,39,add.Tensor
t00001266,15,transpose.int,40,mul.Tensor
t00001278,30,unsqueeze.default,40,mul.Tensor
t00001266,15,transpose.int,41,slice.Tensor
t00001266,15,transpose.int,42,slice.Tensor
t00001290,42,slice.Tensor,43,neg.default
t00001291,43,neg.default,44,cat.default
t00001289,41,slice.Tensor,44,cat.default
t00001292,44,cat.default,45,mul.Tensor
t00001280,32,unsqueeze.default,45,mul.Tensor
t00001288,40,mul.Tensor,46,add.Tensor
t00001293,45,mul.Tensor,46,add.Tensor
t00001294,46,add.Tensor,47,transpose.int
t00001287,39,add.Tensor,48,matmul.default
t00001295,47,transpose.int,48,matmul.default
t00001296,48,matmul.default,49,div.Tensor
t00001297,49,div.Tensor,50,add.Tensor
t00001298,50,add.Tensor,51,softmax.int
t00001299,51,softmax.int,52,to.dtype
t00001300,52,to.dtype,53,dropout.default
t00001300,53,dropout.default,54,matmul.default
t00001268,17,transpose.int,54,matmul.default
t00001301,54,matmul.default,55,transpose.int
t00001302,55,transpose.int,56,contiguous.default
t00001303,56,contiguous.default,57,reshape.default
t00001305,58,gt.Scalar,59,is_nonzero.default
t00001306,60,select.int,61,select.int
t00001307,61,select.int,62,add.Tensor
t00001308,62,add.Tensor,63,eq.Scalar
t00001309,63,eq.Scalar,64,is_nonzero.default
t00001304,57,reshape.default,65,select.int
t00001300,53,dropout.default,66,select.int
t00001311,66,select.int,67,unsqueeze.default
t00001312,67,unsqueeze.default,68,mul.Tensor
t00001268,17,transpose.int,68,mul.Tensor
t00001313,68,mul.Tensor,69,permute.default
t00001314,69,permute.default,70,contiguous.default
t00001315,70,contiguous.default,71,view.default
t00001316,71,view.default,73,slice.Tensor
t00001310,65,select.int,74,unsqueeze.default
t00001319,74,unsqueeze.default,75,sub.Tensor
t00001318,73,slice.Tensor,75,sub.Tensor
t00001310,65,select.int,76,unsqueeze.default
t00001320,75,sub.Tensor,77,cosine_similarity.default
t00001321,76,unsqueeze.default,77,cosine_similarity.default
t00001322,77,cosine_similarity.default,78,squeeze.dim
t00001323,78,squeeze.dim,79,lt.Scalar
t00001324,79,lt.Scalar,80,any.default
t00001325,80,any.default,81,item.default
t00001304,57,reshape.default,82,linear.default
t00001327,82,linear.default,83,add.Tensor
t00001328,83,add.Tensor,84,to.dtype
t00001329,84,to.dtype,85,pow.Tensor_Scalar
t00001330,85,pow.Tensor_Scalar,86,mean.dim
t00001331,86,mean.dim,87,add.Tensor
t00001332,87,add.Tensor,88,rsqrt.default
t00001329,84,to.dtype,89,mul.Tensor
t00001333,88,rsqrt.default,89,mul.Tensor
t00001334,89,mul.Tensor,90,to.dtype
t00001335,90,to.dtype,91,mul.Tensor
t00001337,91,mul.Tensor,92,linear.default
t00001339,92,linear.default,93,silu.default
t00001337,91,mul.Tensor,94,linear.default
t00001340,93,silu.default,95,mul.Tensor
t00001342,94,linear.default,95,mul.Tensor
t00001343,95,mul.Tensor,96,linear.default
t00001328,83,add.Tensor,97,add.Tensor
t00001345,96,linear.default,97,add.Tensor
