event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,1220,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.17.input_layernorm,input_layernorm,model.layers.17.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001247""]","[""t00001248""]"
2,1221,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.17.input_layernorm,input_layernorm,model.layers.17.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001248""]","[""t00001249""]"
3,1222,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.17.input_layernorm,input_layernorm,model.layers.17.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001249""]","[""t00001250""]"
4,1223,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.17.input_layernorm,input_layernorm,model.layers.17.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001250""]","[""t00001251""]"
5,1224,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.17.input_layernorm,input_layernorm,model.layers.17.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001251""]","[""t00001252""]"
6,1225,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.17.input_layernorm,input_layernorm,model.layers.17.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001248"",""t00001252""]","[""t00001253""]"
7,1226,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.17.input_layernorm,input_layernorm,model.layers.17.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001253""]","[""t00001254""]"
8,1227,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.17.input_layernorm,input_layernorm,model.layers.17.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001255"",""t00001254""]","[""t00001256""]"
9,1228,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.17.self_attn.q_proj,self_attn.q_proj,model.layers.17.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00001256"",""t00001257""]","[""t00001258""]"
10,1229,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.17.self_attn.k_proj,self_attn.k_proj,model.layers.17.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00001256"",""t00001259""]","[""t00001260""]"
11,1230,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.17.self_attn.v_proj,self_attn.v_proj,model.layers.17.self_attn.v_proj,True,True,"[""qkv_projection""]","[""t00001256"",""t00001261""]","[""t00001262""]"
12,1231,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,"[""qkv_projection""]","[""t00001258""]","[""t00001263""]"
13,1232,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00001263""]","[""t00001264""]"
14,1233,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,"[""qkv_projection""]","[""t00001260""]","[""t00001265""]"
15,1234,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00001265""]","[""t00001266""]"
16,1235,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,"[""qkv_projection""]","[""t00001262""]","[""t00001267""]"
17,1236,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00001267""]","[""t00001268""]"
18,1237,select.int,"aten::select.int(Tensor(a) self, int dim, SymInt index) -> Tensor(a)",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,[],"[""t00000023""]","[""t00001269""]"
19,1238,select.int,"aten::select.int(Tensor(a) self, int dim, SymInt index) -> Tensor(a)",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,[],"[""t00001269""]","[""t00001270""]"
20,1239,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.17.self_attn,self_attn,model.layers.17.self_attn,True,True,"[""rope""]","[""t00001270""]","[""t00001271""]"
21,1240,gt.Scalar,"aten::gt.Scalar(Tensor self, Scalar other) -> Tensor",model.layers.17.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.17.self_attn.rotary_emb,True,True,"[""visipruner_similarity_check""]","[""t00001271""]","[""t00001272""]"
22,1241,is_nonzero.default,aten::is_nonzero(Tensor self) -> bool,model.layers.17.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.17.self_attn.rotary_emb,True,True,"[""visipruner_similarity_check""]","[""t00001272""]",[]
23,1242,item.default,aten::item(Tensor self) -> Scalar,model.layers.17.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.17.self_attn.rotary_emb,True,True,[],"[""t00001271""]",[]
