child_aten_op_count,cpu_end_us,cpu_memory_usage,cpu_start_us,cpu_time_total_us,device_memory_usage,device_time_total_us,id,input_shapes,is_async,is_user_annotation,key,module_hierarchy,name,parent_id,parent_name,scope,self_cpu_time_total_us,self_device_time_total_us,stack,top_child_aten_ops
156,628565.417,0,626586.032,0,0,1979.3850000000093,4021,,False,True,profile.layer04.prefill.attn,,profile.layer04.prefill.attn,,,0,0,1979.3850000000093,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::add x4; aten::softmax x1; aten::_softmax x1; aten::div x1
29,629153.118,0,628809.307,343.81099999998696,0,1204.980999999796,4195,,False,True,profile.layer04.prefill.mlp,,profile.layer04.prefill.mlp,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,35.83399999991525,0.0,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
29,630123.47,0,628914.584,0,0,1208.8859999999404,4195,,False,True,profile.layer04.prefill.mlp,,profile.layer04.prefill.mlp,,,0,0,1208.8859999999404,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
219,632952.903,0,630220.509,2732.3940000000875,0,2184.1940000002505,4230,,False,True,profile.layer05.prefill,,profile.layer05.prefill,0,torch_profiler_generate_trace.py(241): wrapped_layer_forward,7,27.12200000009034,0.0,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x9; aten::bmm x2; aten::add x8; aten::copy_ x6; aten::softmax x1
219,633882.743,0,630287.446,0,0,3595.2970000000205,4230,,False,True,profile.layer05.prefill,,profile.layer05.prefill,,,0,0,3595.2970000000205,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x9; aten::bmm x2; aten::add x8; aten::copy_ x6; aten::softmax x1
156,632247.822,0,630520.013,1727.8090000000084,0,879.5560000003316,4247,,False,True,profile.layer05.prefill.attn,,profile.layer05.prefill.attn,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,38.955000000074506,0.0,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::softmax x1; aten::_softmax x1; aten::add x4; aten::div x1
156,632350.386,0,630620.997,0,0,1729.389000000083,4247,,False,True,profile.layer05.prefill.attn,,profile.layer05.prefill.attn,,,0,0,1729.389000000083,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::softmax x1; aten::_softmax x1; aten::add x4; aten::div x1
29,632901.411,0,632567.12,334.29099999996834,0,1202.3269999998156,4421,,False,True,profile.layer05.prefill.mlp,,profile.layer05.prefill.mlp,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,33.743000000016764,0.0,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
29,633873.686,0,632667.488,0,0,1206.1979999999749,4421,,False,True,profile.layer05.prefill.mlp,,profile.layer05.prefill.mlp,,,0,0,1206.1979999999749,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
203,636808.143,0,633968.337,2839.8059999999823,0,2158.657000000123,4456,,False,True,profile.layer06.prefill,,profile.layer06.prefill,0,torch_profiler_generate_trace.py(241): wrapped_layer_forward,7,27.135000000009313,0.0,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x9; aten::bmm x2; aten::add x8; aten::copy_ x6; aten::to x9
203,637721.123,0,634033.245,0,0,3687.878000000026,4456,,False,True,profile.layer06.prefill,,profile.layer06.prefill,,,0,0,3687.878000000026,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x9; aten::bmm x2; aten::add x8; aten::copy_ x6; aten::to x9
140,636085.69,0,634251.815,1833.875,0,853.2890000002226,4473,,False,True,profile.layer06.prefill.attn,,profile.layer06.prefill.attn,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,41.38099999993574,0.0,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::add x4; aten::div x1; aten::softmax x1; aten::_softmax x1
140,636183.709,0,634342.891,0,0,1840.8180000000866,4473,,False,True,profile.layer06.prefill.attn,,profile.layer06.prefill.attn,,,0,0,1840.8180000000866,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::add x4; aten::div x1; aten::softmax x1; aten::_softmax x1
29,636754.863,0,636406.003,348.85999999998603,0,1203.5079999999143,4631,,False,True,profile.layer06.prefill.mlp,,profile.layer06.prefill.mlp,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,36.20600000000559,0.0,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
29,637712.418,0,636504.972,0,0,1207.4459999999963,4631,,False,True,profile.layer06.prefill.mlp,,profile.layer06.prefill.mlp,,,0,0,1207.4459999999963,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
267,699101.027,0,637812.582,61288.44499999995,0,2349.5779999997467,4666,,False,True,profile.layer07.prefill,,profile.layer07.prefill,0,torch_profiler_generate_trace.py(241): wrapped_layer_forward,7,31.042000000015832,0.0,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x11; aten::add x9; aten::bmm x2; aten::copy_ x9; aten::cosine_similarity x1
267,699985.925,0,637880.969,0,0,62104.956000000006,4666,,False,True,profile.layer07.prefill,,profile.layer07.prefill,,,0,0,62104.956000000006,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x11; aten::add x9; aten::bmm x2; aten::copy_ x9; aten::cosine_similarity x1
204,698128.707,0,638108.862,60019.84500000009,0,1042.6069999998435,4683,,False,True,profile.layer07.prefill.attn,,profile.layer07.prefill.attn,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,46.35600000002887,0.0,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::mul x6; aten::add x5; aten::bmm x2; aten::cosine_similarity x1; aten::softmax x1
204,698212.95,0,638195.032,0,0,60017.91799999995,4683,,False,True,profile.layer07.prefill.attn,,profile.layer07.prefill.attn,,,0,0,60017.91799999995,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::mul x6; aten::add x5; aten::bmm x2; aten::cosine_similarity x1; aten::softmax x1
55,697772.845,0,639686.529,58086.31599999999,0,82.18000000016764,4824,,False,True,profile.value_aware_token_selection.layer07,,profile.value_aware_token_selection.layer07,0,torch_profiler_generate_trace.py(314): wrapped_select,7,98.23199999995995,0.0,,aten::cosine_similarity x1; aten::div x2; aten::linalg_vector_norm x2; aten::mul x2; aten::clone x3; aten::copy_ x3; aten::clamp_min_ x2; aten::contiguous x1
55,697677.214,0,639762.526,0,0,57914.68800000008,4824,,False,True,profile.value_aware_token_selection.layer07,,profile.value_aware_token_selection.layer07,,,0,0,57914.68800000008,,aten::cosine_similarity x1; aten::div x2; aten::linalg_vector_norm x2; aten::mul x2; aten::clone x3; aten::copy_ x3; aten::clamp_min_ x2; aten::contiguous x1
29,699040.078,0,698617.93,422.1479999999283,0,1206.487000000081,4906,,False,True,profile.layer07.prefill.mlp,,profile.layer07.prefill.mlp,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,61.135999999940395,0.0,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
29,699976.965,0,698766.67,0,0,1210.2949999999255,4906,,False,True,profile.layer07.prefill.mlp,,profile.layer07.prefill.mlp,,,0,0,1210.2949999999255,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
267,704183.271,0,700093.12,4090.1509999999544,0,2227.853000000003,4941,,False,True,profile.layer08.prefill,,profile.layer08.prefill,0,torch_profiler_generate_trace.py(241): wrapped_layer_forward,7,30.209999999962747,0.0,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x11; aten::copy_ x9; aten::bmm x2; aten::add x9; aten::to x9
267,705100.106,0,700170.829,0,0,4929.277000000002,4941,,False,True,profile.layer08.prefill,,profile.layer08.prefill,,,0,0,4929.277000000002,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x11; aten::copy_ x9; aten::bmm x2; aten::add x9; aten::to x9
204,703433.771,0,700419.361,3014.409999999916,0,920.9739999999292,4958,,False,True,profile.layer08.prefill.attn,,profile.layer08.prefill.attn,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,37.797999999835156,0.0,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::div x3; aten::add x5; aten::cosine_similarity x1; aten::copy_ x5
204,703535.652,0,700515.229,0,0,3020.4229999999516,4958,,False,True,profile.layer08.prefill.attn,,profile.layer08.prefill.attn,,,0,0,3020.4229999999516,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::div x3; aten::add x5; aten::cosine_similarity x1; aten::copy_ x5
55,703238.589,0,702469.003,769.5860000000102,0,64.38899999985006,5099,,False,True,profile.value_aware_token_selection.layer08,,profile.value_aware_token_selection.layer08,0,torch_profiler_generate_trace.py(314): wrapped_select,7,50.46000000007916,0.0,,aten::cosine_similarity x1; aten::div x2; aten::linalg_vector_norm x2; aten::mul x2; aten::clone x3; aten::copy_ x3; aten::contiguous x1; aten::sub x1
55,703194.644,0,702542.039,0,0,652.6049999999814,5099,,False,True,profile.value_aware_token_selection.layer08,,profile.value_aware_token_selection.layer08,,,0,0,652.6049999999814,,aten::cosine_similarity x1; aten::div x2; aten::linalg_vector_norm x2; aten::mul x2; aten::clone x3; aten::copy_ x3; aten::contiguous x1; aten::sub x1
29,704129.934,0,703779.705,350.2290000000503,0,1204.0219999999972,5181,,False,True,profile.layer08.prefill.mlp,,profile.layer08.prefill.mlp,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,35.332000000053085,0.0,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
29,705091.241,0,703883.475,0,0,1207.7660000000615,5181,,False,True,profile.layer08.prefill.mlp,,profile.layer08.prefill.mlp,,,0,0,1207.7660000000615,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::reshape x3
267,708803.514,0,705198.74,3604.773999999976,0,2376.108000000124,5216,,False,True,profile.layer09.prefill,,profile.layer09.prefill,0,torch_profiler_generate_trace.py(241): wrapped_layer_forward,7,29.06400000001304,0.0,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x11; aten::copy_ x9; aten::bmm x2; aten::add x9; aten::to x9
267,709713.624,0,705269.905,0,0,4443.718999999925,5216,,False,True,profile.layer09.prefill,,profile.layer09.prefill,,,0,0,4443.718999999925,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x11; aten::copy_ x9; aten::bmm x2; aten::add x9; aten::to x9
204,708071.957,0,705518.664,2553.2930000000633,0,1067.7270000000717,5233,,False,True,profile.layer09.prefill.attn,,profile.layer09.prefill.attn,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,35.53099999995902,0.0,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::softmax x1; aten::_softmax x1; aten::add x5; aten::div x3
204,708175.091,0,705609.088,0,0,2566.003000000026,5233,,False,True,profile.layer09.prefill.attn,,profile.layer09.prefill.attn,,,0,0,2566.003000000026,,aten::matmul x6; aten::linear x4; aten::mm x4; aten::bmm x2; aten::softmax x1; aten::_softmax x1; aten::add x5; aten::div x3
55,707887.844,0,707259.448,628.3960000000661,0,64.45000000018626,5374,,False,True,profile.value_aware_token_selection.layer09,,profile.value_aware_token_selection.layer09,0,torch_profiler_generate_trace.py(314): wrapped_select,7,44.12800000002608,0.0,,aten::cosine_similarity x1; aten::div x2; aten::linalg_vector_norm x2; aten::mul x2; aten::clone x3; aten::copy_ x3; aten::contiguous x1; aten::sub x1
55,707848.709,0,707338.318,0,0,510.39100000006147,5374,,False,True,profile.value_aware_token_selection.layer09,,profile.value_aware_token_selection.layer09,,,0,0,510.39100000006147,,aten::cosine_similarity x1; aten::div x2; aten::linalg_vector_norm x2; aten::mul x2; aten::clone x3; aten::copy_ x3; aten::contiguous x1; aten::sub x1
29,708749.611,0,708395.42,354.1909999999916,0,1204.694000000134,5456,,False,True,profile.layer09.prefill.mlp,,profile.layer09.prefill.mlp,0,torch_profiler_generate_trace.py(293): wrapped_component_forward,7,34.39399999997113,0.0,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::as_strided x3
29,709704.76,0,708496.418,0,0,1208.3420000000624,5456,,False,True,profile.layer09.prefill.mlp,,profile.layer09.prefill.mlp,,,0,0,1208.3420000000624,,aten::linear x3; aten::matmul x3; aten::mm x3; aten::mul x1; aten::silu x1; aten::t x3; aten::transpose x3; aten::as_strided x3
267,713559.959,0,709800.085,3759.874000000069,0,2229.4119999997783,5491,,False,True,profile.layer10.prefill,,profile.layer10.prefill,0,torch_profiler_generate_trace.py(241): wrapped_layer_forward,7,27.964000000152737,0.0,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x11; aten::bmm x2; aten::copy_ x9; aten::add x9; aten::to x9
267,714448.844,0,709867.679,0,0,4581.165000000037,5491,,False,True,profile.layer10.prefill,,profile.layer10.prefill,,,0,0,4581.165000000037,,aten::matmul x9; aten::linear x7; aten::mm x7; aten::mul x11; aten::bmm x2; aten::copy_ x9; aten::add x9; aten::to x9
