tensor_id,producer_event_op_index,producer_op_name,consumer_event_op_index,consumer_op_name
t00001347,1,to.dtype,2,pow.Tensor_Scalar
t00001348,2,pow.Tensor_Scalar,3,mean.dim
t00001349,3,mean.dim,4,add.Tensor
t00001350,4,add.Tensor,5,rsqrt.default
t00001347,1,to.dtype,6,mul.Tensor
t00001351,5,rsqrt.default,6,mul.Tensor
t00001352,6,mul.Tensor,7,to.dtype
t00001353,7,to.dtype,8,mul.Tensor
t00001355,8,mul.Tensor,9,linear.default
t00001355,8,mul.Tensor,10,linear.default
t00001355,8,mul.Tensor,11,linear.default
t00001357,9,linear.default,12,view.default
t00001362,12,view.default,13,transpose.int
t00001359,10,linear.default,14,view.default
t00001364,14,view.default,15,transpose.int
t00001361,11,linear.default,16,view.default
t00001366,16,view.default,17,transpose.int
t00001368,18,select.int,19,select.int
t00001369,19,select.int,20,add.Tensor
t00001370,20,add.Tensor,21,gt.Scalar
t00001371,21,gt.Scalar,22,is_nonzero.default
t00001370,20,add.Tensor,23,item.default
t00001373,24,slice.Tensor,25,to.dtype
t00001370,20,add.Tensor,26,item.default
t00001375,27,slice.Tensor,28,to.dtype
t00001373,25,to.dtype,29,index.Tensor
t00001376,29,index.Tensor,30,unsqueeze.default
t00001375,28,to.dtype,31,index.Tensor
t00001378,31,index.Tensor,32,unsqueeze.default
t00001363,13,transpose.int,33,mul.Tensor
t00001377,30,unsqueeze.default,33,mul.Tensor
t00001363,13,transpose.int,34,slice.Tensor
t00001363,13,transpose.int,35,slice.Tensor
t00001382,35,slice.Tensor,36,neg.default
t00001383,36,neg.default,37,cat.default
t00001381,34,slice.Tensor,37,cat.default
t00001384,37,cat.default,38,mul.Tensor
t00001379,32,unsqueeze.default,38,mul.Tensor
t00001380,33,mul.Tensor,39,add.Tensor
t00001385,38,mul.Tensor,39,add.Tensor
t00001365,15,transpose.int,40,mul.Tensor
t00001377,30,unsqueeze.default,40,mul.Tensor
t00001365,15,transpose.int,41,slice.Tensor
t00001365,15,transpose.int,42,slice.Tensor
t00001389,42,slice.Tensor,43,neg.default
t00001390,43,neg.default,44,cat.default
t00001388,41,slice.Tensor,44,cat.default
t00001391,44,cat.default,45,mul.Tensor
t00001379,32,unsqueeze.default,45,mul.Tensor
t00001387,40,mul.Tensor,46,add.Tensor
t00001392,45,mul.Tensor,46,add.Tensor
t00001393,46,add.Tensor,47,transpose.int
t00001386,39,add.Tensor,48,matmul.default
t00001394,47,transpose.int,48,matmul.default
t00001395,48,matmul.default,49,div.Tensor
t00001396,49,div.Tensor,50,add.Tensor
t00001397,50,add.Tensor,51,softmax.int
t00001398,51,softmax.int,52,to.dtype
t00001399,52,to.dtype,53,dropout.default
t00001399,53,dropout.default,54,matmul.default
t00001367,17,transpose.int,54,matmul.default
t00001400,54,matmul.default,55,transpose.int
t00001401,55,transpose.int,56,contiguous.default
t00001402,56,contiguous.default,57,reshape.default
t00001404,58,gt.Scalar,59,is_nonzero.default
t00001405,60,select.int,61,select.int
t00001406,61,select.int,62,add.Tensor
t00001407,62,add.Tensor,63,eq.Scalar
t00001408,63,eq.Scalar,64,is_nonzero.default
t00001403,57,reshape.default,65,select.int
t00001399,53,dropout.default,66,select.int
t00001410,66,select.int,67,unsqueeze.default
t00001411,67,unsqueeze.default,68,mul.Tensor
t00001367,17,transpose.int,68,mul.Tensor
t00001412,68,mul.Tensor,69,permute.default
t00001413,69,permute.default,70,contiguous.default
t00001414,70,contiguous.default,71,view.default
t00001415,71,view.default,73,slice.Tensor
t00001409,65,select.int,74,unsqueeze.default
t00001418,74,unsqueeze.default,75,sub.Tensor
t00001417,73,slice.Tensor,75,sub.Tensor
t00001409,65,select.int,76,unsqueeze.default
t00001419,75,sub.Tensor,77,cosine_similarity.default
t00001420,76,unsqueeze.default,77,cosine_similarity.default
t00001421,77,cosine_similarity.default,78,squeeze.dim
t00001422,78,squeeze.dim,79,lt.Scalar
t00001423,79,lt.Scalar,80,any.default
t00001424,80,any.default,81,item.default
t00001409,65,select.int,82,unsqueeze.default
t00001419,75,sub.Tensor,83,sub.Tensor
t00001425,82,unsqueeze.default,83,sub.Tensor
t00001426,83,sub.Tensor,84,linalg_vector_norm.default
t00001427,84,linalg_vector_norm.default,85,squeeze.dim
t00001428,85,squeeze.dim,86,gt.Scalar
t00001429,86,gt.Scalar,87,where.default
t00001430,87,where.default,88,add.Tensor
t00001403,57,reshape.default,89,linear.default
t00001433,89,linear.default,90,add.Tensor
t00001434,90,add.Tensor,91,to.dtype
t00001435,91,to.dtype,92,pow.Tensor_Scalar
t00001436,92,pow.Tensor_Scalar,93,mean.dim
t00001437,93,mean.dim,94,add.Tensor
t00001438,94,add.Tensor,95,rsqrt.default
t00001435,91,to.dtype,96,mul.Tensor
t00001439,95,rsqrt.default,96,mul.Tensor
t00001440,96,mul.Tensor,97,to.dtype
t00001441,97,to.dtype,98,mul.Tensor
t00001443,98,mul.Tensor,99,linear.default
t00001445,99,linear.default,100,silu.default
t00001443,98,mul.Tensor,101,linear.default
t00001446,100,silu.default,102,mul.Tensor
t00001448,101,linear.default,102,mul.Tensor
t00001449,102,mul.Tensor,103,linear.default
t00001434,90,add.Tensor,104,add.Tensor
t00001451,103,linear.default,104,add.Tensor
