event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,1317,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.18.input_layernorm,input_layernorm,model.layers.18.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001346""]","[""t00001347""]"
2,1318,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.18.input_layernorm,input_layernorm,model.layers.18.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001347""]","[""t00001348""]"
3,1319,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.18.input_layernorm,input_layernorm,model.layers.18.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001348""]","[""t00001349""]"
4,1320,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.18.input_layernorm,input_layernorm,model.layers.18.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001349""]","[""t00001350""]"
5,1321,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.18.input_layernorm,input_layernorm,model.layers.18.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001350""]","[""t00001351""]"
6,1322,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.18.input_layernorm,input_layernorm,model.layers.18.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001347"",""t00001351""]","[""t00001352""]"
7,1323,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.18.input_layernorm,input_layernorm,model.layers.18.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001352""]","[""t00001353""]"
8,1324,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.18.input_layernorm,input_layernorm,model.layers.18.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001354"",""t00001353""]","[""t00001355""]"
9,1325,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.18.self_attn.q_proj,self_attn.q_proj,model.layers.18.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00001355"",""t00001356""]","[""t00001357""]"
10,1326,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.18.self_attn.k_proj,self_attn.k_proj,model.layers.18.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00001355"",""t00001358""]","[""t00001359""]"
