event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,1621,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.21.input_layernorm,input_layernorm,model.layers.21.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001659""]","[""t00001660""]"
2,1622,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.21.input_layernorm,input_layernorm,model.layers.21.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001660""]","[""t00001661""]"
3,1623,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.21.input_layernorm,input_layernorm,model.layers.21.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001661""]","[""t00001662""]"
4,1624,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.21.input_layernorm,input_layernorm,model.layers.21.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001662""]","[""t00001663""]"
5,1625,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.21.input_layernorm,input_layernorm,model.layers.21.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001663""]","[""t00001664""]"
6,1626,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.21.input_layernorm,input_layernorm,model.layers.21.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001660"",""t00001664""]","[""t00001665""]"
7,1627,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.21.input_layernorm,input_layernorm,model.layers.21.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001665""]","[""t00001666""]"
8,1628,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.21.input_layernorm,input_layernorm,model.layers.21.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001667"",""t00001666""]","[""t00001668""]"
9,1629,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.21.self_attn.q_proj,self_attn.q_proj,model.layers.21.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00001668"",""t00001669""]","[""t00001670""]"
10,1630,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.21.self_attn.k_proj,self_attn.k_proj,model.layers.21.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00001668"",""t00001671""]","[""t00001672""]"
