tensor_id,producer_event_op_index,producer_op_name,consumer_event_op_index,consumer_op_name
t00002464,1,to.dtype,2,pow.Tensor_Scalar
t00002465,2,pow.Tensor_Scalar,3,mean.dim
t00002466,3,mean.dim,4,add.Tensor
t00002467,4,add.Tensor,5,rsqrt.default
t00002464,1,to.dtype,6,mul.Tensor
t00002468,5,rsqrt.default,6,mul.Tensor
t00002469,6,mul.Tensor,7,to.dtype
t00002470,7,to.dtype,8,mul.Tensor
t00002471,8,mul.Tensor,9,linear.default
t00002471,8,mul.Tensor,10,linear.default
t00002471,8,mul.Tensor,11,linear.default
t00002472,9,linear.default,12,view.default
t00002475,12,view.default,13,transpose.int
t00002473,10,linear.default,14,view.default
t00002477,14,view.default,15,transpose.int
t00002474,11,linear.default,16,view.default
t00002479,16,view.default,17,transpose.int
t00002482,18,select.int,19,select.int
t00002483,19,select.int,20,add.Tensor
t00002484,20,add.Tensor,21,gt.Scalar
t00002485,21,gt.Scalar,22,is_nonzero.default
t00002484,20,add.Tensor,23,item.default
t00002486,24,slice.Tensor,25,to.dtype
t00002484,20,add.Tensor,26,item.default
t00002487,27,slice.Tensor,28,to.dtype
t00002486,25,to.dtype,29,index.Tensor
t00002488,29,index.Tensor,30,unsqueeze.default
t00002487,28,to.dtype,31,index.Tensor
t00002490,31,index.Tensor,32,unsqueeze.default
t00002476,13,transpose.int,33,mul.Tensor
t00002489,30,unsqueeze.default,33,mul.Tensor
t00002476,13,transpose.int,34,slice.Tensor
t00002476,13,transpose.int,35,slice.Tensor
t00002494,35,slice.Tensor,36,neg.default
t00002495,36,neg.default,37,cat.default
t00002493,34,slice.Tensor,37,cat.default
t00002496,37,cat.default,38,mul.Tensor
t00002491,32,unsqueeze.default,38,mul.Tensor
t00002492,33,mul.Tensor,39,add.Tensor
t00002497,38,mul.Tensor,39,add.Tensor
t00002478,15,transpose.int,40,mul.Tensor
t00002489,30,unsqueeze.default,40,mul.Tensor
t00002478,15,transpose.int,41,slice.Tensor
t00002478,15,transpose.int,42,slice.Tensor
t00002501,42,slice.Tensor,43,neg.default
t00002502,43,neg.default,44,cat.default
t00002500,41,slice.Tensor,44,cat.default
t00002503,44,cat.default,45,mul.Tensor
t00002491,32,unsqueeze.default,45,mul.Tensor
t00002499,40,mul.Tensor,46,add.Tensor
t00002504,45,mul.Tensor,46,add.Tensor
t00002505,46,add.Tensor,47,cat.default
t00002480,17,transpose.int,48,cat.default
t00002506,47,cat.default,49,transpose.int
t00002498,39,add.Tensor,50,matmul.default
t00002508,49,transpose.int,50,matmul.default
t00002509,50,matmul.default,51,div.Tensor
t00002510,51,div.Tensor,52,add.Tensor
t00002512,52,add.Tensor,53,softmax.int
t00002513,53,softmax.int,54,to.dtype
t00002514,54,to.dtype,55,dropout.default
t00002514,55,dropout.default,56,matmul.default
t00002507,48,cat.default,56,matmul.default
t00002515,56,matmul.default,57,transpose.int
t00002516,57,transpose.int,58,reshape.default
t00002518,59,gt.Scalar,60,is_nonzero.default
t00002517,58,reshape.default,61,linear.default
t00002519,61,linear.default,62,add.Tensor
t00002520,62,add.Tensor,63,to.dtype
t00002521,63,to.dtype,64,pow.Tensor_Scalar
t00002522,64,pow.Tensor_Scalar,65,mean.dim
t00002523,65,mean.dim,66,add.Tensor
t00002524,66,add.Tensor,67,rsqrt.default
t00002521,63,to.dtype,68,mul.Tensor
t00002525,67,rsqrt.default,68,mul.Tensor
t00002526,68,mul.Tensor,69,to.dtype
t00002527,69,to.dtype,70,mul.Tensor
t00002528,70,mul.Tensor,71,linear.default
t00002529,71,linear.default,72,silu.default
t00002528,70,mul.Tensor,73,linear.default
t00002530,72,silu.default,74,mul.Tensor
t00002531,73,linear.default,74,mul.Tensor
t00002532,74,mul.Tensor,75,linear.default
t00002520,62,add.Tensor,76,add.Tensor
t00002533,75,linear.default,76,add.Tensor
