tensor_id,producer_event_op_index,producer_op_name,consumer_event_op_index,consumer_op_name
t00003049,1,to.dtype,2,pow.Tensor_Scalar
t00003050,2,pow.Tensor_Scalar,3,mean.dim
t00003051,3,mean.dim,4,add.Tensor
t00003052,4,add.Tensor,5,rsqrt.default
t00003049,1,to.dtype,6,mul.Tensor
t00003053,5,rsqrt.default,6,mul.Tensor
t00003054,6,mul.Tensor,7,to.dtype
t00003055,7,to.dtype,8,mul.Tensor
t00003056,8,mul.Tensor,9,linear.default
t00003056,8,mul.Tensor,10,linear.default
t00003056,8,mul.Tensor,11,linear.default
t00003057,9,linear.default,12,view.default
t00003060,12,view.default,13,transpose.int
t00003058,10,linear.default,14,view.default
t00003062,14,view.default,15,transpose.int
t00003059,11,linear.default,16,view.default
t00003064,16,view.default,17,transpose.int
t00003066,18,select.int,19,select.int
t00003067,19,select.int,20,add.Tensor
t00003068,20,add.Tensor,21,gt.Scalar
t00003069,21,gt.Scalar,22,is_nonzero.default
t00003068,20,add.Tensor,23,item.default
t00003070,24,slice.Tensor,25,to.dtype
t00003068,20,add.Tensor,26,item.default
t00003071,27,slice.Tensor,28,to.dtype
t00003070,25,to.dtype,29,index.Tensor
t00003072,29,index.Tensor,30,unsqueeze.default
t00003071,28,to.dtype,31,index.Tensor
t00003074,31,index.Tensor,32,unsqueeze.default
t00003061,13,transpose.int,33,mul.Tensor
t00003073,30,unsqueeze.default,33,mul.Tensor
t00003061,13,transpose.int,34,slice.Tensor
t00003061,13,transpose.int,35,slice.Tensor
t00003078,35,slice.Tensor,36,neg.default
t00003079,36,neg.default,37,cat.default
t00003077,34,slice.Tensor,37,cat.default
t00003080,37,cat.default,38,mul.Tensor
t00003075,32,unsqueeze.default,38,mul.Tensor
t00003076,33,mul.Tensor,39,add.Tensor
t00003081,38,mul.Tensor,39,add.Tensor
t00003063,15,transpose.int,40,mul.Tensor
t00003073,30,unsqueeze.default,40,mul.Tensor
t00003063,15,transpose.int,41,slice.Tensor
t00003063,15,transpose.int,42,slice.Tensor
t00003085,42,slice.Tensor,43,neg.default
t00003086,43,neg.default,44,cat.default
t00003084,41,slice.Tensor,44,cat.default
t00003087,44,cat.default,45,mul.Tensor
t00003075,32,unsqueeze.default,45,mul.Tensor
t00003083,40,mul.Tensor,46,add.Tensor
t00003088,45,mul.Tensor,46,add.Tensor
t00003089,46,add.Tensor,47,cat.default
t00003065,17,transpose.int,48,cat.default
t00003091,47,cat.default,49,transpose.int
t00003082,39,add.Tensor,50,matmul.default
t00003094,49,transpose.int,50,matmul.default
t00003095,50,matmul.default,51,div.Tensor
t00003096,51,div.Tensor,52,add.Tensor
t00003098,52,add.Tensor,53,softmax.int
t00003099,53,softmax.int,54,to.dtype
t00003100,54,to.dtype,55,dropout.default
t00003100,55,dropout.default,56,matmul.default
t00003093,48,cat.default,56,matmul.default
t00003101,56,matmul.default,57,transpose.int
t00003102,57,transpose.int,58,reshape.default
t00003104,59,gt.Scalar,60,is_nonzero.default
t00003103,58,reshape.default,61,linear.default
t00003105,61,linear.default,62,add.Tensor
t00003106,62,add.Tensor,63,to.dtype
t00003107,63,to.dtype,64,pow.Tensor_Scalar
t00003108,64,pow.Tensor_Scalar,65,mean.dim
t00003109,65,mean.dim,66,add.Tensor
t00003110,66,add.Tensor,67,rsqrt.default
t00003107,63,to.dtype,68,mul.Tensor
t00003111,67,rsqrt.default,68,mul.Tensor
t00003112,68,mul.Tensor,69,to.dtype
t00003113,69,to.dtype,70,mul.Tensor
t00003114,70,mul.Tensor,71,linear.default
t00003115,71,linear.default,72,silu.default
t00003114,70,mul.Tensor,73,linear.default
t00003116,72,silu.default,74,mul.Tensor
t00003117,73,linear.default,74,mul.Tensor
t00003118,74,mul.Tensor,75,linear.default
t00003106,62,add.Tensor,76,add.Tensor
t00003119,75,linear.default,76,add.Tensor
