event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,735,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.12.input_layernorm,input_layernorm,model.layers.12.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000752""]","[""t00000753""]"
2,736,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.12.input_layernorm,input_layernorm,model.layers.12.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000753""]","[""t00000754""]"
3,737,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.12.input_layernorm,input_layernorm,model.layers.12.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000754""]","[""t00000755""]"
4,738,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.12.input_layernorm,input_layernorm,model.layers.12.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000755""]","[""t00000756""]"
5,739,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.12.input_layernorm,input_layernorm,model.layers.12.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000756""]","[""t00000757""]"
6,740,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.12.input_layernorm,input_layernorm,model.layers.12.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000753"",""t00000757""]","[""t00000758""]"
7,741,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.12.input_layernorm,input_layernorm,model.layers.12.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000758""]","[""t00000759""]"
8,742,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.12.input_layernorm,input_layernorm,model.layers.12.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00000760"",""t00000759""]","[""t00000761""]"
9,743,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.12.self_attn.q_proj,self_attn.q_proj,model.layers.12.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00000761"",""t00000762""]","[""t00000763""]"
10,744,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.12.self_attn.k_proj,self_attn.k_proj,model.layers.12.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00000761"",""t00000764""]","[""t00000765""]"
11,745,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.12.self_attn.v_proj,self_attn.v_proj,model.layers.12.self_attn.v_proj,True,True,"[""qkv_projection""]","[""t00000761"",""t00000766""]","[""t00000767""]"
12,746,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.12.self_attn,self_attn,model.layers.12.self_attn,True,True,"[""qkv_projection""]","[""t00000763""]","[""t00000768""]"
13,747,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.12.self_attn,self_attn,model.layers.12.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00000768""]","[""t00000769""]"
14,748,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.12.self_attn,self_attn,model.layers.12.self_attn,True,True,"[""qkv_projection""]","[""t00000765""]","[""t00000770""]"
