event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,2860,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002903""]","[""t00002904""]"
2,2861,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002904""]","[""t00002905""]"
3,2862,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002905""]","[""t00002906""]"
4,2863,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002906""]","[""t00002907""]"
5,2864,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002907""]","[""t00002908""]"
6,2865,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002904"",""t00002908""]","[""t00002909""]"
7,2866,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002909""]","[""t00002910""]"
8,2867,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.19.input_layernorm,input_layernorm,model.layers.19.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00001461"",""t00002910""]","[""t00002911""]"
9,2868,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.19.self_attn.q_proj,self_attn.q_proj,model.layers.19.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00002911"",""t00001463""]","[""t00002912""]"
10,2869,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.19.self_attn.k_proj,self_attn.k_proj,model.layers.19.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00002911"",""t00001465""]","[""t00002913""]"
11,2870,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.19.self_attn.v_proj,self_attn.v_proj,model.layers.19.self_attn.v_proj,True,True,"[""qkv_projection""]","[""t00002911"",""t00001467""]","[""t00002914""]"
12,2871,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.19.self_attn,self_attn,model.layers.19.self_attn,True,True,"[""qkv_projection""]","[""t00002912""]","[""t00002915""]"
13,2872,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.19.self_attn,self_attn,model.layers.19.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002915""]","[""t00002916""]"
