event_id,forward_id,fx_sampled,fx_trace_status,fx_traced,hidden_shape_in,hidden_shape_out,kv_len,layer_id,node_count,past_len,phase,position_shape,q_len,specialization,status,trace_dir
input1_layer14,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,14,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer14
input1_layer15,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,15,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer15
input1_layer16,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,16,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer16
input1_layer17,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,17,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer17
input1_layer18,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,18,134,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": true, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer18
input1_layer19,1,True,ok,True,"[1, 58, 4096]","[1, 58, 4096]",58,19,126,0,prefill,"[1, 58]",58,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 58}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""verify"", ""decision"": true, ""important_vis_token_count"": 10, ""threshold"": 0.999}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer19
input1_layer20,1,True,ok,True,"[1, 58, 4096]","[1, 58, 4096]",58,20,126,0,prefill,"[1, 58]",58,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 58}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""verify"", ""decision"": true, ""important_vis_token_count"": 10, ""threshold"": 0.999}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer20
input1_layer21,1,True,ok,True,"[1, 58, 4096]","[1, 58, 4096]",58,21,126,0,prefill,"[1, 58]",58,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 58}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""verify"", ""decision"": true, ""important_vis_token_count"": 10, ""threshold"": 0.999}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer21
input1_layer22,1,True,ok,True,"[1, 58, 4096]","[1, 58, 4096]",58,22,126,0,prefill,"[1, 58]",58,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 58}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""verify"", ""decision"": true, ""important_vis_token_count"": 10, ""threshold"": 0.999}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer22
input1_layer23,1,True,ok,True,"[1, 58, 4096]","[1, 58, 4096]",58,23,126,0,prefill,"[1, 58]",58,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 58}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""verify"", ""decision"": true, ""important_vis_token_count"": 10, ""threshold"": 0.999}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer23
