event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,2321,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.28.input_layernorm,input_layernorm,model.layers.28.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002374""]","[""t00002375""]"
2,2322,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.28.input_layernorm,input_layernorm,model.layers.28.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002375""]","[""t00002376""]"
3,2323,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.28.input_layernorm,input_layernorm,model.layers.28.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002376""]","[""t00002377""]"
4,2324,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.28.input_layernorm,input_layernorm,model.layers.28.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002377""]","[""t00002378""]"
5,2325,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.28.input_layernorm,input_layernorm,model.layers.28.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002378""]","[""t00002379""]"
6,2326,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.28.input_layernorm,input_layernorm,model.layers.28.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002375"",""t00002379""]","[""t00002380""]"
7,2327,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.28.input_layernorm,input_layernorm,model.layers.28.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002380""]","[""t00002381""]"
8,2328,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.28.input_layernorm,input_layernorm,model.layers.28.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002382"",""t00002381""]","[""t00002383""]"
9,2329,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.28.self_attn.q_proj,self_attn.q_proj,model.layers.28.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00002383"",""t00002384""]","[""t00002385""]"
10,2330,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.28.self_attn.k_proj,self_attn.k_proj,model.layers.28.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00002383"",""t00002386""]","[""t00002387""]"
11,2331,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.28.self_attn.v_proj,self_attn.v_proj,model.layers.28.self_attn.v_proj,True,True,"[""qkv_projection""]","[""t00002383"",""t00002388""]","[""t00002389""]"
12,2332,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""qkv_projection""]","[""t00002385""]","[""t00002390""]"
13,2333,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002390""]","[""t00002391""]"
14,2334,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""qkv_projection""]","[""t00002387""]","[""t00002392""]"
15,2335,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002392""]","[""t00002393""]"
16,2336,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""qkv_projection""]","[""t00002389""]","[""t00002394""]"
17,2337,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002394""]","[""t00002395""]"
18,2338,select.int,"aten::select.int(Tensor(a) self, int dim, SymInt index) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002396""]","[""t00002397""]"
19,2339,select.int,"aten::select.int(Tensor(a) self, int dim, SymInt index) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002397""]","[""t00002398""]"
20,2340,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002398""]","[""t00002399""]"
21,2341,gt.Scalar,"aten::gt.Scalar(Tensor self, Scalar other) -> Tensor",model.layers.28.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.28.self_attn.rotary_emb,True,True,[],"[""t00002399""]","[""t00002400""]"
22,2342,is_nonzero.default,aten::is_nonzero(Tensor self) -> bool,model.layers.28.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.28.self_attn.rotary_emb,True,True,[],"[""t00002400""]",[]
23,2343,item.default,aten::item(Tensor self) -> Scalar,model.layers.28.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.28.self_attn.rotary_emb,True,True,[],"[""t00002399""]",[]
24,2344,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.28.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.28.self_attn.rotary_emb,True,True,"[""rope""]","[""t00002401""]","[""t00002402""]"
25,2345,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.28.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.28.self_attn.rotary_emb,True,True,[],"[""t00002402""]","[""t00002402""]"
26,2346,item.default,aten::item(Tensor self) -> Scalar,model.layers.28.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.28.self_attn.rotary_emb,True,True,[],"[""t00002399""]",[]
27,2347,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.28.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.28.self_attn.rotary_emb,True,True,"[""rope""]","[""t00002403""]","[""t00002404""]"
28,2348,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.28.self_attn.rotary_emb,self_attn.rotary_emb,model.layers.28.self_attn.rotary_emb,True,True,[],"[""t00002404""]","[""t00002404""]"
29,2349,index.Tensor,"aten::index.Tensor(Tensor self, Tensor?[] indices) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002402"",""t00002396""]","[""t00002405""]"
30,2350,unsqueeze.default,"aten::unsqueeze(Tensor(a) self, int dim) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002405""]","[""t00002406""]"
31,2351,index.Tensor,"aten::index.Tensor(Tensor self, Tensor?[] indices) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002404"",""t00002396""]","[""t00002407""]"
32,2352,unsqueeze.default,"aten::unsqueeze(Tensor(a) self, int dim) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002407""]","[""t00002408""]"
33,2353,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002391"",""t00002406""]","[""t00002409""]"
34,2354,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002391""]","[""t00002410""]"
35,2355,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002391""]","[""t00002411""]"
36,2356,neg.default,aten::neg(Tensor self) -> Tensor,model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002411""]","[""t00002412""]"
37,2357,cat.default,"aten::cat(Tensor[] tensors, int dim=0) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002412"",""t00002410""]","[""t00002413""]"
38,2358,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope""]","[""t00002413"",""t00002408""]","[""t00002414""]"
39,2359,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""rope"",""attention""]","[""t00002409"",""t00002414""]","[""t00002415""]"
40,2360,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002393"",""t00002406""]","[""t00002416""]"
41,2361,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002393""]","[""t00002417""]"
42,2362,slice.Tensor,"aten::slice.Tensor(Tensor(a) self, int dim=0, SymInt? start=None, SymInt? end=None, SymInt step=1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002393""]","[""t00002418""]"
43,2363,neg.default,aten::neg(Tensor self) -> Tensor,model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002418""]","[""t00002419""]"
44,2364,cat.default,"aten::cat(Tensor[] tensors, int dim=0) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002419"",""t00002417""]","[""t00002420""]"
45,2365,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002420"",""t00002408""]","[""t00002421""]"
46,2366,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention""]","[""t00002416"",""t00002421""]","[""t00002422""]"
47,2367,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention""]","[""t00002422""]","[""t00002423""]"
48,2368,matmul.default,"aten::matmul(Tensor self, Tensor other) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention""]","[""t00002415"",""t00002423""]","[""t00002424""]"
49,2369,div.Tensor,"aten::div.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention""]","[""t00002424""]","[""t00002425""]"
50,2370,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention""]","[""t00002425"",""t00002426""]","[""t00002427""]"
51,2371,softmax.int,"aten::softmax.int(Tensor self, int dim, ScalarType? dtype=None) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention""]","[""t00002427""]","[""t00002428""]"
52,2372,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002428""]","[""t00002429""]"
53,2373,dropout.default,"aten::dropout(Tensor input, float p, bool train) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention""]","[""t00002429""]","[""t00002429""]"
54,2374,matmul.default,"aten::matmul(Tensor self, Tensor other) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention"",""attention_output""]","[""t00002429"",""t00002395""]","[""t00002430""]"
55,2375,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002430""]","[""t00002431""]"
56,2376,contiguous.default,"aten::contiguous(Tensor(a) self, *, MemoryFormat memory_format=0) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention_output""]","[""t00002431""]","[""t00002432""]"
57,2377,reshape.default,"aten::reshape(Tensor(a) self, SymInt[] shape) -> Tensor(a)",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,"[""attention_output""]","[""t00002432""]","[""t00002433""]"
58,2378,gt.Scalar,"aten::gt.Scalar(Tensor self, Scalar other) -> Tensor",model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00000057""]","[""t00002434""]"
59,2379,is_nonzero.default,aten::is_nonzero(Tensor self) -> bool,model.layers.28.self_attn,self_attn,model.layers.28.self_attn,True,True,[],"[""t00002434""]",[]
