event_id,status,issue_count,row_count,module_count,phase,role,token_state,q_len,kv_len,visual_adjust_kind,prune_probe_kind,expected_stages,onnx_stages,issue_codes
input1_layer7,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer8,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer9,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input2_layer18,pass,0,76,14,decode,decode_prune_effect,full_cache,1,625,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input2_layer19,pass,0,76,14,decode,decode_prune_effect,middle_pruned_cache,1,59,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input2_layer27,pass,0,76,14,decode,decode_prune_effect,middle_pruned_cache,1,59,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input2_layer28,pass,0,76,14,decode,decode_prune_effect,deep_removed_cache,1,49,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input2_layer31,pass,0,76,14,decode,decode_prune_effect,deep_removed_cache,1,49,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input32_layer18,pass,0,76,14,decode,decode_prune_effect,full_cache,1,655,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input32_layer19,pass,0,76,14,decode,decode_prune_effect,middle_pruned_cache,1,89,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input32_layer27,pass,0,76,14,decode,decode_prune_effect,middle_pruned_cache,1,89,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input32_layer28,pass,0,76,14,decode,decode_prune_effect,deep_removed_cache,1,79,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
input32_layer31,pass,0,76,14,decode,decode_prune_effect,deep_removed_cache,1,79,,,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp,input_rmsnorm | qkv_projection | rope | kv_cache_concat | attention | attention_output | mlp | full_flow,
